scan_time,req_date,req_pc4,opt0_short_addr,opt0_time,opt0_loc_id,opt1_short_addr,opt1_time,opt1_loc_id,opt2_short_addr,opt2_time,opt2_loc_id
2022-03-01 09:30,2022-03-01,3511,3552 Utrecht,2022-03-01 15:30,3552:3c0f,3527 Utrecht,2022-03-01 14:15,3527:d3f3,3526 Utrecht,2022-03-01 18:45,3526:d463
2022-03-01 09:30,2022-03-02,3511,3552 Utrecht,2022-03-02 14:45,3552:3c0f,3527 Utrecht,2022-03-02 09:30,3527:d3f3,3526 Utrecht,2022-03-02 17:45,3526:d463
2022-03-01 09:31,2022-03-01,5611,5644 Eindhoven,2022-03-01 16:30,5644:7872,,,,,,
2022-03-01 09:31,2022-03-02,5611,5644 Eindhoven,2022-03-02 08:45,5644:7872,,,,,,
2022-03-01 09:31,2022-03-01,5038,5048 Tilburg,2022-03-01 15:35,5048:eb06,,,,,,
2022-03-01 09:31,2022-03-02,5038,5048 Tilburg,2022-03-02 08:45,5048:eb06,,,,,,
2022-03-01 09:31,2022-03-01,9726,,,,,,,,,
2022-03-01 09:31,2022-03-02,9726,9723 Groningen,2022-03-02 09:21,9723:e146,9743 Groningen,2022-03-02 09:30,9743:6abf,9747 Groningen,2022-03-02 09:15,9747:1c04
2022-03-01 09:31,2022-03-01,8011,8013 Zwolle,2022-03-01 13:00,8013:1e91,,,,,,
2022-03-01 09:31,2022-03-02,8011,8013 Zwolle,2022-03-02 09:30,8013:1e91,,,,,,
2022-03-01 09:31,2022-03-01,1011,1078 Amsterdam,2022-03-01 12:50,1078:d1fd,1025 Amsterdam,2022-03-01 10:50,1025:4076,1043 Amsterdam,2022-03-01 11:10,1043:90eb
2022-03-01 09:31,2022-03-02,1011,1091 Amsterdam,2022-03-02 10:30,1091:8897,1078 Amsterdam,2022-03-02 09:00,1078:d1fd,1025 Amsterdam,2022-03-02 07:50,1025:4076
2022-03-01 09:31,2022-03-01,3013,3045 Rotterdam,2022-03-01 14:12,3045:5690,3085 Rotterdam,2022-03-01 13:03,3085:3cda,3078 Rotterdam,2022-03-01 13:03,3078:6b21
2022-03-01 09:31,2022-03-02,3013,3032 Rotterdam,2022-03-02 11:36,3032:8483,3026 Rotterdam,2022-03-02 10:21,3026:0941,3072 Rotterdam,2022-03-02 12:03,3072:0ab5
2022-03-01 09:31,2022-03-03,3013,3032 Rotterdam,2022-03-03 09:24,3032:8483,3026 Rotterdam,2022-03-03 09:33,3026:0941,3072 Rotterdam,2022-03-03 10:30,3072:0ab5
2022-03-01 09:31,2022-03-01,2515,2516 Den Haag,2022-03-01 12:10,2516:a7ff,2512 Den Haag,2022-03-01 11:04,2512:c854,2597 Den Haag,2022-03-01 13:39,2597:377e
2022-03-01 09:32,2022-03-02,2515,2597 Den Haag,2022-03-02 12:00,2597:377e,2287 Rijswijk,2022-03-02 11:09,2287:731f,2612 Delft,2022-03-02 09:24,2612:70c8
2022-03-01 09:32,2022-03-03,2515,2597 Den Haag,2022-03-03 10:25,2597:377e,2287 Rijswijk,2022-03-03 10:22,2287:731f,2612 Delft,2022-03-03 08:42,2612:70c8
