scan_time,req_date,req_pc4,opt0_short_addr,opt0_time,opt0_loc_id,opt1_short_addr,opt1_time,opt1_loc_id,opt2_short_addr,opt2_time,opt2_loc_id
2022-02-21 10:00,2022-02-21,3511,3552 Utrecht,2022-02-21 17:00,3552:3c0f,3527 Utrecht,2022-02-21 13:30,3527:d3f3,3526 Utrecht,2022-02-21 19:00,3526:d463
2022-02-21 10:01,2022-02-22,3511,3552 Utrecht,2022-02-22 15:00,3552:3c0f,3527 Utrecht,2022-02-22 09:15,3527:d3f3,3562 Utrecht,2022-02-22 18:45,3562:ffee
2022-02-21 10:01,2022-02-21,5611,5644 Eindhoven,2022-02-21 11:30,5644:7872,,,,,,
2022-02-21 10:01,2022-02-22,5611,5644 Eindhoven,2022-02-22 08:30,5644:7872,,,,,,
2022-02-21 10:01,2022-02-21,5038,5048 Tilburg,2022-02-21 11:04,5048:eb06,,,,,,
2022-02-21 10:01,2022-02-22,5038,5049 Tilburg,2022-02-22 10:52,5049:4621,5048 Tilburg,2022-02-22 08:33,5048:eb06,,,
2022-02-21 10:01,2022-02-21,9726,9711 Groningen,2022-02-21 12:45,9711:ed2c,9723 Groningen,2022-02-21 11:58,9723:e146,9743 Groningen,2022-02-21 14:15,9743:6abf
2022-02-21 10:01,2022-02-22,9726,9711 Groningen,2022-02-22 09:15,9711:ed2c,9723 Groningen,2022-02-22 08:51,9723:e146,9743 Groningen,2022-02-22 09:15,9743:6abf
2022-02-21 10:01,2022-02-21,8011,8013 Zwolle,2022-02-21 14:15,8013:1e91,,,,,,
2022-02-21 10:01,2022-02-22,8011,8013 Zwolle,2022-02-22 09:30,8013:1e91,,,,,,
2022-02-21 10:01,2022-02-21,1011,1078 Amsterdam,2022-02-21 11:10,1078:d1fd,1025 Amsterdam,2022-02-21 11:20,1025:4076,1043 Amsterdam,2022-02-21 11:10,1043:90eb
2022-02-21 10:01,2022-02-22,1011,1091 Amsterdam,2022-02-22 09:30,1091:8897,1078 Amsterdam,2022-02-22 08:50,1078:d1fd,1025 Amsterdam,2022-02-22 07:50,1025:4076
2022-02-21 10:01,2022-02-21,3013,3045 Rotterdam,2022-02-21 11:06,3045:5690,3119 Schiedam,2022-02-21 11:57,3119:16e3,3077 Rotterdam,2022-02-21 11:21,3077:df6c
2022-02-21 10:01,2022-02-22,3013,3032 Rotterdam,2022-02-22 11:33,3032:8483,3026 Rotterdam,2022-02-22 09:57,3026:0941,3072 Rotterdam,2022-02-22 10:33,3072:0ab5
2022-02-21 10:01,2022-02-23,3013,3032 Rotterdam,2022-02-23 09:33,3032:8483,3026 Rotterdam,2022-02-23 09:36,3026:0941,3072 Rotterdam,2022-02-23 09:42,3072:0ab5
