scan_time,req_date,req_pc4,opt0_short_addr,opt0_time,opt0_loc_id,opt1_short_addr,opt1_time,opt1_loc_id,opt2_short_addr,opt2_time,opt2_loc_id
2022-03-07 09:05,2022-03-07,3511,3552 Utrecht,2022-03-07 16:45,3552:3c0f,3527 Utrecht,2022-03-07 13:00,3527:d3f3,3526 Utrecht,2022-03-07 18:45,3526:d463
2022-03-07 09:05,2022-03-08,3511,3552 Utrecht,2022-03-08 14:45,3552:3c0f,3527 Utrecht,2022-03-08 09:00,3527:d3f3,3526 Utrecht,2022-03-08 17:45,3526:d463
2022-03-07 09:06,2022-03-07,5611,,,,,,,,,
2022-03-07 09:06,2022-03-08,5611,5644 Eindhoven,2022-03-08 16:45,5644:7872,,,,,,
2022-03-07 09:06,2022-03-09,5611,5644 Eindhoven,2022-03-09 08:45,5644:7872,,,,,,
2022-03-07 09:06,2022-03-07,5038,,,,,,,,,
2022-03-07 09:06,2022-03-08,5038,5048 Tilburg,2022-03-08 11:46,5048:eb06,,,,,,
2022-03-07 09:06,2022-03-09,5038,5048 Tilburg,2022-03-09 10:03,5048:eb06,,,,,,
2022-03-07 09:06,2022-03-10,5038,5048 Tilburg,2022-03-10 09:00,5048:eb06,,,,,,
2022-03-07 09:06,2022-03-07,9726,9723 Groningen,2022-03-07 14:53,9723:e146,9747 Groningen,2022-03-07 13:30,9747:1c04,,,
2022-03-07 09:06,2022-03-08,9726,9723 Groningen,2022-03-08 09:00,9723:e146,9743 Groningen,2022-03-08 09:00,9743:6abf,9747 Groningen,2022-03-08 09:00,9747:1c04
2022-03-07 09:06,2022-03-07,8011,8013 Zwolle,2022-03-07 15:00,8013:1e91,,,,,,
2022-03-07 09:06,2022-03-08,8011,8013 Zwolle,2022-03-08 09:15,8013:1e91,,,,,,
2022-03-07 09:06,2022-03-07,1011,1091 Amsterdam,2022-03-07 11:00,1091:8897,1078 Amsterdam,2022-03-07 12:40,1078:d1fd,1025 Amsterdam,2022-03-07 11:50,1025:4076
2022-03-07 09:06,2022-03-08,1011,1091 Amsterdam,2022-03-08 09:10,1091:8897,1078 Amsterdam,2022-03-08 09:00,1078:d1fd,1025 Amsterdam,2022-03-08 08:10,1025:4076
2022-03-07 09:06,2022-03-07,3013,3045 Rotterdam,2022-03-07 15:03,3045:5690,3085 Rotterdam,2022-03-07 14:06,3085:3cda,3076 Rotterdam,2022-03-07 10:36,3076:4c65
2022-03-07 09:07,2022-03-08,3013,3032 Rotterdam,2022-03-08 11:21,3032:8483,3026 Rotterdam,2022-03-08 09:42,3026:0941,3072 Rotterdam,2022-03-08 10:12,3072:0ab5
2022-03-07 09:07,2022-03-09,3013,3032 Rotterdam,2022-03-09 09:57,3032:8483,3026 Rotterdam,2022-03-09 09:51,3026:0941,3072 Rotterdam,2022-03-09 09:51,3072:0ab5
2022-03-07 09:07,2022-03-10,3013,3032 Rotterdam,2022-03-10 09:36,3032:8483,3026 Rotterdam,2022-03-10 09:48,3026:0941,3072 Rotterdam,2022-03-10 09:57,3072:0ab5
2022-03-07 09:07,2022-03-07,2515,2516 Den Haag,2022-03-07 14:15,2516:a7ff,2512 Den Haag,2022-03-07 12:07,2512:c854,2597 Den Haag,2022-03-07 14:54,2597:377e
2022-03-07 09:07,2022-03-08,2515,2516 Den Haag,2022-03-08 08:36,2516:a7ff,2512 Den Haag,2022-03-08 08:30,2512:c854,2597 Den Haag,2022-03-08 11:39,2597:377e
2022-03-07 09:07,2022-03-07,7311,7324 Apeldoorn,2022-03-07 15:23,7324:5c1f,,,,,,
2022-03-07 09:07,2022-03-08,7311,7324 Apeldoorn,2022-03-08 08:48,7324:5c1f,,,,,,
2022-03-07 09:07,2022-03-07,6229,,,,,,,,,
2022-03-07 09:07,2022-03-08,6229,6229 Maastricht,2022-03-08 13:00,6229:121a,,,,,,
2022-03-07 09:07,2022-03-09,6229,6229 Maastricht,2022-03-09 08:30,6229:121a,,,,,,
2022-03-07 09:07,2022-03-07,7556,7556 Hengelo,2022-03-07 11:18,7556:3644,7514 Enschede,2022-03-07 13:30,7514:8035,,,
2022-03-07 09:07,2022-03-08,7556,7556 Hengelo,2022-03-08 08:36,7556:3644,7514 Enschede,2022-03-08 08:30,7514:8035,,,
2022-03-07 09:07,2022-03-07,6541,6662 Elst,2022-03-07 15:51,6662:96b8,,,,,,
2022-03-07 09:07,2022-03-08,6541,6541 Nijmegen,2022-03-08 08:27,6541:fa99,6662 Elst,2022-03-08 09:18,6662:96b8,6603 Wijchen,2022-03-08 08:12,6603:3380
2022-03-07 09:07,2022-03-07,8911,8924 Leeuwarden,2022-03-07 13:07,8924:58b0,,,,,,
2022-03-07 09:08,2022-03-08,8911,8924 Leeuwarden,2022-03-08 08:51,8924:58b0,,,,,,
2022-03-07 09:08,2022-03-07,8232,8242 Lelystad,2022-03-07 13:42,8242:849d,,,,,,
2022-03-07 09:08,2022-03-08,8232,8242 Lelystad,2022-03-08 09:45,8242:849d,,,,,,
2022-03-07 09:08,2022-03-09,8232,8242 Lelystad,2022-03-09 09:33,8242:849d,,,,,,
2022-03-07 09:08,2022-03-10,8232,8242 Lelystad,2022-03-10 09:33,8242:849d,,,,,,
2022-03-07 09:08,2022-03-07,4462,4462 Goes,2022-03-07 11:48,4462:60da,4462 Goes,2022-03-07 13:24,4462:6e15,,,
2022-03-07 09:08,2022-03-08,4462,4462 Goes,2022-03-08 08:15,4462:60da,4462 Goes,2022-03-08 08:18,4462:6e15,,,
2022-03-07 09:08,2022-03-07,9501,9502 Stadskanaal,2022-03-07 13:45,9502:747f,,,,,,
2022-03-07 09:08,2022-03-08,9501,9502 Stadskanaal,2022-03-08 09:30,9502:747f,,,,,,
2022-03-07 09:08,2022-03-07,1625,1627 Hoorn,2022-03-07 15:00,1627:b1ca,,,,,,
2022-03-07 09:08,2022-03-08,1625,1627 Hoorn,2022-03-08 09:30,1627:b1ca,,,,,,
2022-03-07 09:08,2022-03-07,9291,9291 Kollum,2022-03-07 11:10,9291:7875,,,,,,
2022-03-07 09:08,2022-03-08,9291,9291 Kollum,2022-03-08 08:48,9291:7875,,,,,,
2022-03-07 09:08,2022-03-07,5401,,,,,,,,,
2022-03-07 09:08,2022-03-08,5401,5406 Uden,2022-03-08 14:04,5406:fec5,,,,,,
2022-03-07 09:09,2022-03-09,5401,5406 Uden,2022-03-09 10:15,5406:fec5,,,,,,
2022-03-07 09:09,2022-03-10,5401,5406 Uden,2022-03-10 09:00,5406:fec5,,,,,,
