scan_time,req_date,req_pc4,opt0_short_addr,opt0_time,opt0_loc_id,opt1_short_addr,opt1_time,opt1_loc_id,opt2_short_addr,opt2_time,opt2_loc_id
2022-03-14 09:42,2022-03-14,3511,3552 Utrecht,2022-03-14 17:45,3552:3c0f,3527 Utrecht,2022-03-14 12:15,3527:d3f3,3526 Utrecht,2022-03-14 18:30,3526:d463
2022-03-14 09:42,2022-03-15,3511,3552 Utrecht,2022-03-15 14:45,3552:3c0f,3527 Utrecht,2022-03-15 09:15,3527:d3f3,3526 Utrecht,2022-03-15 17:45,3526:d463
2022-03-14 09:42,2022-03-14,5611,5644 Eindhoven,2022-03-14 11:15,5644:7872,,,,,,
2022-03-14 09:42,2022-03-15,5611,5644 Eindhoven,2022-03-15 08:45,5644:7872,,,,,,
2022-03-14 09:42,2022-03-14,5038,5048 Tilburg,2022-03-14 11:34,5048:eb06,,,,,,
2022-03-14 09:42,2022-03-15,5038,5048 Tilburg,2022-03-15 08:45,5048:eb06,,,,,,
2022-03-14 09:42,2022-03-14,9726,9723 Groningen,2022-03-14 15:22,9723:e146,9747 Groningen,2022-03-14 14:00,9747:1c04,,,
2022-03-14 09:42,2022-03-15,9726,9723 Groningen,2022-03-15 09:03,9723:e146,9743 Groningen,2022-03-15 09:30,9743:6abf,9747 Groningen,2022-03-15 09:00,9747:1c04
2022-03-14 09:42,2022-03-14,8011,8013 Zwolle,2022-03-14 15:45,8013:1e91,,,,,,
2022-03-14 09:42,2022-03-15,8011,8013 Zwolle,2022-03-15 09:15,8013:1e91,,,,,,
2022-03-14 09:42,2022-03-14,1011,1078 Amsterdam,2022-03-14 13:10,1078:d1fd,1025 Amsterdam,2022-03-14 12:40,1025:4076,1043 Amsterdam,2022-03-14 11:00,1043:90eb
2022-03-14 09:42,2022-03-15,1011,1078 Amsterdam,2022-03-15 08:50,1078:d1fd,1025 Amsterdam,2022-03-15 08:10,1025:4076,1043 Amsterdam,2022-03-15 09:00,1043:59a7
2022-03-14 09:42,2022-03-14,3013,3045 Rotterdam,2022-03-14 14:21,3045:5690,3085 Rotterdam,2022-03-14 12:57,3085:3cda,3076 Rotterdam,2022-03-14 12:54,3076:4c65
2022-03-14 09:43,2022-03-15,3013,3032 Rotterdam,2022-03-15 10:48,3032:8483,3026 Rotterdam,2022-03-15 09:57,3026:0941,3072 Rotterdam,2022-03-15 10:21,3072:0ab5
2022-03-14 09:43,2022-03-16,3013,3032 Rotterdam,2022-03-16 09:27,3032:8483,3026 Rotterdam,2022-03-16 09:54,3026:0941,3072 Rotterdam,2022-03-16 10:00,3072:0ab5
2022-03-14 09:43,2022-03-14,2515,2516 Den Haag,2022-03-14 14:21,2516:a7ff,2512 Den Haag,2022-03-14 11:40,2512:c854,2597 Den Haag,2022-03-14 12:14,2597:377e
2022-03-14 09:43,2022-03-15,2515,2516 Den Haag,2022-03-15 08:39,2516:a7ff,2597 Den Haag,2022-03-15 11:54,2597:377e,2287 Rijswijk,2022-03-15 10:55,2287:731f
2022-03-14 09:43,2022-03-14,7311,7324 Apeldoorn,2022-03-14 14:59,7324:5c1f,,,,,,
2022-03-14 09:43,2022-03-15,7311,7324 Apeldoorn,2022-03-15 08:42,7324:5c1f,,,,,,
2022-03-14 09:43,2022-03-14,6229,6229 Maastricht,2022-03-14 11:15,6229:121a,,,,,,
2022-03-14 09:43,2022-03-15,6229,6229 Maastricht,2022-03-15 08:45,6229:121a,,,,,,
2022-03-14 09:43,2022-03-14,7556,7556 Hengelo,2022-03-14 15:09,7556:3644,7514 Enschede,2022-03-14 13:30,7514:8035,,,
2022-03-14 09:43,2022-03-15,7556,7556 Hengelo,2022-03-15 08:42,7556:3644,7514 Enschede,2022-03-15 08:30,7514:8035,,,
2022-03-14 09:43,2022-03-14,6541,6541 Nijmegen,2022-03-14 13:06,6541:fa99,6532 Nijmegen,2022-03-14 16:00,6532:b564,6662 Elst,2022-03-14 14:06,6662:96b8
2022-03-14 09:43,2022-03-15,6541,6541 Nijmegen,2022-03-15 08:12,6541:fa99,6532 Nijmegen,2022-03-15 09:18,6532:b564,6662 Elst,2022-03-15 09:06,6662:96b8
2022-03-14 09:43,2022-03-14,8911,8924 Leeuwarden,2022-03-14 13:09,8924:58b0,,,,,,
2022-03-14 09:43,2022-03-15,8911,8924 Leeuwarden,2022-03-15 08:51,8924:58b0,,,,,,
2022-03-14 09:43,2022-03-14,8232,8242 Lelystad,2022-03-14 14:00,8242:849d,,,,,,
2022-03-14 09:44,2022-03-15,8232,8242 Lelystad,2022-03-15 09:39,8242:849d,,,,,,
2022-03-14 09:44,2022-03-16,8232,8242 Lelystad,2022-03-16 09:30,8242:849d,,,,,,
2022-03-14 09:44,2022-03-14,4462,4462 Goes,2022-03-14 11:35,4462:6e15,4462 Goes,2022-03-14 11:19,4462:60da,,,
2022-03-14 09:44,2022-03-15,4462,4462 Goes,2022-03-15 08:21,4462:6e15,4462 Goes,2022-03-15 08:15,4462:60da,,,
2022-03-14 09:44,2022-03-14,9501,9502 Stadskanaal,2022-03-14 14:00,9502:747f,,,,,,
2022-03-14 09:44,2022-03-15,9501,9502 Stadskanaal,2022-03-15 09:30,9502:747f,,,,,,
2022-03-14 09:44,2022-03-14,1625,1627 Hoorn,2022-03-14 17:30,1627:b1ca,,,,,,
2022-03-14 09:44,2022-03-15,1625,1627 Hoorn,2022-03-15 09:15,1627:b1ca,,,,,,
2022-03-14 09:44,2022-03-14,9291,9291 Kollum,2022-03-14 13:10,9291:7875,,,,,,
2022-03-14 09:44,2022-03-15,9291,9291 Kollum,2022-03-15 08:48,9291:7875,,,,,,
2022-03-14 09:44,2022-03-14,5401,5406 Uden,2022-03-14 13:56,5406:fec5,,,,,,
2022-03-14 09:44,2022-03-15,5401,5406 Uden,2022-03-15 09:48,5406:fec5,,,,,,
2022-03-14 09:44,2022-03-16,5401,5406 Uden,2022-03-16 08:39,5406:fec5,,,,,,
2022-03-14 09:44,2022-03-14,7903,7903 Hoogeveen,2022-03-14 14:18,7903:64b3,,,,,,
2022-03-14 09:44,2022-03-15,7903,7903 Hoogeveen,2022-03-15 09:42,7903:64b3,,,,,,
2022-03-14 09:45,2022-03-16,7903,7903 Hoogeveen,2022-03-16 09:12,7903:64b3,,,,,,
2022-03-14 09:45,2022-03-14,7942,7942 Meppel,2022-03-14 13:21,7942:5846,7951 Staphorst,2022-03-14 13:00,7951:0243,,,
2022-03-14 09:45,2022-03-15,7942,7942 Meppel,2022-03-15 09:12,7942:5846,7951 Staphorst,2022-03-15 09:00,7951:0243,,,
2022-03-14 09:45,2022-03-14,7471,7471 Goor,2022-03-14 12:45,7471:149c,,,,,,
2022-03-14 09:45,2022-03-15,7471,7471 Goor,2022-03-15 08:15,7471:149c,,,,,,
2022-03-14 09:45,2022-03-14,5801,5807 Oostrum,2022-03-14 11:00,5807:ff2f,,,,,,
2022-03-14 09:45,2022-03-15,5801,5807 Oostrum,2022-03-15 08:00,5807:ff2f,,,,,,
2022-03-14 09:45,2022-03-14,8442,8447 Heerenveen,2022-03-14 13:19,8447:9987,,,,,,
2022-03-14 09:45,2022-03-15,8442,8447 Heerenveen,2022-03-15 08:51,8447:9987,,,,,,
2022-03-14 09:45,2022-03-14,7137,7141 Groenlo,2022-03-14 16:57,7141:2c44,,,,,,
2022-03-14 09:45,2022-03-15,7137,7141 Groenlo,2022-03-15 08:42,7141:2c44,,,,,,
