scan_time,req_date,req_pc4,opt0_short_addr,opt0_time,opt0_loc_id,opt1_short_addr,opt1_time,opt1_loc_id,opt2_short_addr,opt2_time,opt2_loc_id
2022-02-04 23:31,2022-02-05,3511,3527 Utrecht,2022-02-05 11:45,3527:d3f3,3534 Utrecht,2022-02-05 11:30,3534:472b,3562 Utrecht,2022-02-05 15:15,3562:ffee
2022-02-04 23:31,2022-02-06,3511,3527 Utrecht,2022-02-06 11:45,3527:d3f3,3534 Utrecht,2022-02-06 11:30,3534:472b,3562 Utrecht,2022-02-06 15:15,3562:ffee
2022-02-04 23:31,2022-02-07,3511,3527 Utrecht,2022-02-07 11:45,3527:d3f3,3534 Utrecht,2022-02-07 11:30,3534:472b,3562 Utrecht,2022-02-07 15:15,3562:ffee
2022-02-04 23:31,2022-02-05,5611,,,,,,,,,
2022-02-04 23:31,2022-02-06,5611,,,,,,,,,
2022-02-04 23:31,2022-02-07,5611,,,,,,,,,
2022-02-04 23:31,2022-02-05,5038,,,,,,,,,
2022-02-04 23:31,2022-02-06,5038,,,,,,,,,
2022-02-04 23:31,2022-02-07,5038,,,,,,,,,
2022-02-04 23:31,2022-02-05,9726,,,,,,,,,
2022-02-04 23:31,2022-02-06,9726,,,,,,,,,
2022-02-04 23:31,2022-02-07,9726,,,,,,,,,
2022-02-04 23:31,2022-02-05,8011,,,,,,,,,
2022-02-04 23:31,2022-02-06,8011,,,,,,,,,
2022-02-04 23:31,2022-02-07,8011,,,,,,,,,
2022-02-04 23:31,2022-02-05,6041,,,,,,,,,
2022-02-04 23:31,2022-02-06,6041,,,,,,,,,
2022-02-04 23:31,2022-02-07,6041,,,,,,,,,
2022-02-04 23:31,2022-02-05,1011,1078 Amsterdam,2022-02-05 12:50,1078:d1fd,1025 Amsterdam,2022-02-05 09:20,1025:4076,1043 Amsterdam,2022-02-05 09:30,1043:90eb
2022-02-04 23:31,2022-02-06,1011,1078 Amsterdam,2022-02-06 12:50,1078:d1fd,1025 Amsterdam,2022-02-06 09:20,1025:4076,1043 Amsterdam,2022-02-06 09:30,1043:90eb
2022-02-04 23:31,2022-02-07,1011,1078 Amsterdam,2022-02-07 12:50,1078:d1fd,1025 Amsterdam,2022-02-07 09:20,1025:4076,1043 Amsterdam,2022-02-07 09:30,1043:90eb
2022-02-04 23:31,2022-02-05,3013,,,,,,,,,
2022-02-04 23:31,2022-02-06,3013,,,,,,,,,
2022-02-04 23:31,2022-02-07,3013,,,,,,,,,
2022-02-04 23:31,2022-02-05,2515,,,,,,,,,
2022-02-04 23:31,2022-02-06,2515,,,,,,,,,
2022-02-04 23:31,2022-02-07,2515,,,,,,,,,
2022-02-04 23:31,2022-02-05,7311,,,,,,,,,
2022-02-04 23:31,2022-02-06,7311,,,,,,,,,
2022-02-04 23:31,2022-02-07,7311,,,,,,,,,
2022-02-04 23:31,2022-02-05,6229,,,,,,,,,
2022-02-04 23:31,2022-02-06,6229,,,,,,,,,
2022-02-04 23:31,2022-02-07,6229,,,,,,,,,
2022-02-04 23:31,2022-02-05,7556,,,,,,,,,
2022-02-04 23:31,2022-02-06,7556,,,,,,,,,
2022-02-04 23:31,2022-02-07,7556,,,,,,,,,
2022-02-04 23:31,2022-02-05,6541,,,,,,,,,
2022-02-04 23:31,2022-02-06,6541,,,,,,,,,
2022-02-04 23:31,2022-02-07,6541,,,,,,,,,
2022-02-04 23:31,2022-02-05,8911,,,,,,,,,
2022-02-04 23:31,2022-02-06,8911,,,,,,,,,
2022-02-04 23:31,2022-02-07,8911,,,,,,,,,
2022-02-04 23:31,2022-02-05,8232,,,,,,,,,
2022-02-04 23:31,2022-02-06,8232,,,,,,,,,
2022-02-04 23:31,2022-02-07,8232,,,,,,,,,
2022-02-04 23:31,2022-02-05,4462,,,,,,,,,
2022-02-04 23:31,2022-02-06,4462,,,,,,,,,
2022-02-04 23:31,2022-02-07,4462,,,,,,,,,
2022-02-04 23:31,2022-02-05,9501,,,,,,,,,
2022-02-04 23:31,2022-02-06,9501,,,,,,,,,
2022-02-04 23:31,2022-02-07,9501,,,,,,,,,
2022-02-04 23:31,2022-02-05,1625,,,,,,,,,
2022-02-04 23:31,2022-02-06,1625,,,,,,,,,
2022-02-04 23:31,2022-02-07,1625,,,,,,,,,
2022-02-04 23:31,2022-02-05,9291,,,,,,,,,
2022-02-04 23:31,2022-02-06,9291,,,,,,,,,
2022-02-04 23:31,2022-02-07,9291,,,,,,,,,
2022-02-04 23:31,2022-02-05,5401,,,,,,,,,
2022-02-04 23:31,2022-02-06,5401,,,,,,,,,
2022-02-04 23:31,2022-02-07,5401,,,,,,,,,
2022-02-04 23:31,2022-02-05,7903,,,,,,,,,
2022-02-04 23:31,2022-02-06,7903,,,,,,,,,
2022-02-04 23:31,2022-02-07,7903,,,,,,,,,
2022-02-04 23:31,2022-02-05,7942,,,,,,,,,
2022-02-04 23:31,2022-02-06,7942,,,,,,,,,
2022-02-04 23:31,2022-02-07,7942,,,,,,,,,
2022-02-04 23:31,2022-02-05,7471,,,,,,,,,
2022-02-04 23:31,2022-02-06,7471,,,,,,,,,
2022-02-04 23:31,2022-02-07,7471,,,,,,,,,
2022-02-04 23:31,2022-02-05,5801,,,,,,,,,
2022-02-04 23:31,2022-02-06,5801,,,,,,,,,
2022-02-04 23:31,2022-02-07,5801,,,,,,,,,
