scan_time,apt_date,short_addr,num_booked,num_slots,num_booked_2h,num_slots_2h,num_booked_45m,num_slots_45m,num_booked_15m,num_slots_15m,first_tm,last_tm,company,all_slots,is_active,loc_id_hash,api_version,xfields
2022-02-14 11:55,2022-02-15,3044 Rotterdam,0,52,0,0,0,0,0,0,08:00,20:45,Spoedtestcorona,----------------------------------------------------,True,237fb25,2,
2022-02-14 11:55,2022-02-15,8013 Zwolle,0,44,0,0,0,0,0,0,09:00,19:45,Covid Plus,--------------------------------------------,True,cdd0d57,2,
2022-02-14 11:55,2022-02-15,7418 Deventer,48,48,0,0,0,0,0,0,08:00,19:45,Covid Plus,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,True,883ac04,2,
2022-02-14 11:55,2022-02-15,6131 Sittard,2,24,0,0,0,0,0,0,12:00,17:45,Lead Healthcare Covid Services,----------XX------------,True,e4346c6,2,
#,,,,,,,,,,,,,,,,,,
#scan_time,apt_date,short_addr,num_booked,num_slots,num_booked_2h,num_slots_2h,num_booked_45m,num_slots_45m,num_booked_15m,num_slots_15m,first_tm,last_tm,company,all_slots,is_active,loc_id_hash,api_version,xfields
2022-02-14 13:55,2022-02-14,3769 Soesterberg,0,24,0,8,0,3,0,1,14:00,19:45,Covid Plus,------------------------,True,c0b3595,2,
2022-02-14 13:55,2022-02-14,3817 Amersfoort,1,16,1,8,0,3,0,1,14:00,17:45,Lead Healthcare Covid Services,----X-----------,True,0f6de42,2,
2022-02-14 13:55,2022-02-14,3044 Rotterdam,0,28,0,8,0,3,0,1,14:00,20:45,Spoedtestcorona,----------------------------,True,237fb25,2,
2022-02-14 13:55,2022-02-14,8013 Zwolle,0,24,0,8,0,3,0,1,14:00,19:45,Covid Plus,------------------------,True,cdd0d57,2,
2022-02-14 13:55,2022-02-14,7418 Deventer,24,24,8,8,3,3,1,1,14:00,19:45,Covid Plus,XXXXXXXXXXXXXXXXXXXXXXXX,True,883ac04,2,
2022-02-14 13:55,2022-02-14,6131 Sittard,1,24,1,8,0,3,0,1,14:00,19:45,Lead Healthcare Covid Services,----X-------------------,True,e4346c6,2,
2022-02-14 13:55,2022-02-15,3769 Soesterberg,0,48,0,0,0,0,0,0,08:00,19:45,Covid Plus,------------------------------------------------,True,c0b3595,2,
2022-02-14 13:55,2022-02-15,3817 Amersfoort,6,42,0,0,0,0,0,0,09:30,19:45,Lead Healthcare Covid Services,------X-----XX--------X---------XX--------,True,0f6de42,2,
2022-02-14 13:55,2022-02-15,3044 Rotterdam,0,52,0,0,0,0,0,0,08:00,20:45,Spoedtestcorona,----------------------------------------------------,True,237fb25,2,
2022-02-14 13:55,2022-02-15,8013 Zwolle,0,44,0,0,0,0,0,0,09:00,19:45,Covid Plus,--------------------------------------------,True,cdd0d57,2,
2022-02-14 13:55,2022-02-15,7418 Deventer,48,48,0,0,0,0,0,0,08:00,19:45,Covid Plus,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,True,883ac04,2,
2022-02-14 13:55,2022-02-15,6131 Sittard,2,24,0,0,0,0,0,0,12:00,17:45,Lead Healthcare Covid Services,----------XX------------,True,e4346c6,2,
#,,,,,,,,,,,,,,,,,,
#scan_time,apt_date,short_addr,num_booked,num_slots,num_booked_2h,num_slots_2h,num_booked_45m,num_slots_45m,num_booked_15m,num_slots_15m,first_tm,last_tm,company,all_slots,is_active,loc_id_hash,api_version,xfields
2022-02-14 15:55,2022-02-14,3769 Soesterberg,0,16,0,8,0,3,0,1,16:00,19:45,Covid Plus,----------------,True,c0b3595,2,
2022-02-14 15:55,2022-02-14,3817 Amersfoort,0,8,0,8,0,3,0,1,16:00,17:45,Lead Healthcare Covid Services,--------,True,0f6de42,2,
2022-02-14 15:55,2022-02-14,3044 Rotterdam,0,20,0,8,0,3,0,1,16:00,20:45,Spoedtestcorona,--------------------,True,237fb25,2,
2022-02-14 15:55,2022-02-14,8013 Zwolle,0,16,0,8,0,3,0,1,16:00,19:45,Covid Plus,----------------,True,cdd0d57,2,
2022-02-14 15:55,2022-02-14,7418 Deventer,16,16,8,8,3,3,1,1,16:00,19:45,Covid Plus,XXXXXXXXXXXXXXXX,True,883ac04,2,
2022-02-14 15:55,2022-02-14,6131 Sittard,0,16,0,8,0,3,0,1,16:00,19:45,Lead Healthcare Covid Services,----------------,True,e4346c6,2,
2022-02-14 15:55,2022-02-15,3769 Soesterberg,0,48,0,0,0,0,0,0,08:00,19:45,Covid Plus,------------------------------------------------,True,c0b3595,2,
2022-02-14 15:55,2022-02-15,3817 Amersfoort,6,42,0,0,0,0,0,0,09:30,19:45,Lead Healthcare Covid Services,------X-----XX--------X---------XX--------,True,0f6de42,2,
2022-02-14 15:55,2022-02-15,3044 Rotterdam,0,52,0,0,0,0,0,0,08:00,20:45,Spoedtestcorona,----------------------------------------------------,True,237fb25,2,
2022-02-14 15:55,2022-02-15,8013 Zwolle,0,44,0,0,0,0,0,0,09:00,19:45,Covid Plus,--------------------------------------------,True,cdd0d57,2,
2022-02-14 15:55,2022-02-15,7418 Deventer,48,48,0,0,0,0,0,0,08:00,19:45,Covid Plus,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,True,883ac04,2,
